Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,127.989998,128.979996,127.510002,128.740005,121.410599,5710249
2019-09-04,129.490005,129.589996,128.080002,128.860001,121.523766,4821460
2019-09-05,129.899994,129.899994,128.309998,128.580002,121.259705,4754074
2019-09-06,128.880005,129.229996,128.070007,128.210007,120.910774,6758329
2019-09-09,128.000000,128.160004,126.589996,126.949997,119.722496,7684665
2019-09-10,127.339996,129.550003,126.339996,129.550003,122.174492,8239733
2019-09-11,129.860001,131.279999,129.080002,131.169998,123.702240,6203628
2019-09-12,131.360001,131.770004,130.059998,130.429993,123.004379,5250032
2019-09-13,131.330002,131.570007,129.960007,130.779999,123.334457,5369774
2019-09-16,130.110001,130.750000,129.330002,129.539993,122.165039,5101689
2019-09-17,129.600006,130.500000,129.110001,129.669998,122.287643,5002870
2019-09-18,129.899994,130.559998,128.779999,130.410004,122.985519,4450707
2019-09-19,129.630005,131.190002,129.360001,130.110001,122.702606,4857275
2019-09-20,131.000000,132.000000,130.289993,131.649994,124.154938,12335326
2019-09-23,131.020004,132.050003,130.490005,131.740005,124.239807,5422371
2019-09-24,132.100006,132.779999,131.339996,131.550003,124.060623,7131472
2019-09-25,131.500000,131.574997,130.229996,130.990005,123.532501,4569635
2019-09-26,131.089996,131.309204,128.029999,128.850006,121.514343,7706003
2019-09-27,128.610001,129.399994,126.699997,128.600006,121.278572,6006690
2019-09-30,129.070007,130.279999,129.000000,129.380005,122.014160,6825489
2019-10-01,130.020004,130.800003,129.770004,129.990005,122.589432,7706218
2019-10-02,132.759995,134.699997,131.220001,132.000000,124.484993,12088624
2019-10-03,131.639999,132.371506,130.009995,131.190002,123.721115,7413819
2019-10-04,131.339996,133.720001,131.250000,133.660004,126.050499,7240361
2019-10-07,133.089996,133.824997,132.144608,133.160004,125.578979,5437161
2019-10-08,132.449997,133.264999,131.490005,131.839996,124.334106,7926935
2019-10-09,131.139999,131.250000,128.520004,129.220001,121.863266,7854729
2019-10-10,128.949997,130.117905,128.630005,129.059998,121.712372,5265916
2019-10-11,131.139999,132.619995,130.820007,131.330002,123.853149,7187687
2019-10-14,131.360001,131.360001,130.419998,130.720001,123.277878,5851866
2019-10-15,133.000000,134.250000,132.100006,132.839996,125.277176,10048879
2019-10-16,134.899994,136.589996,133.800003,135.169998,127.474518,12463867
2019-10-17,135.960007,137.490005,135.649994,136.169998,128.417587,8612673
2019-10-18,133.309998,134.387497,127.699997,127.699997,120.429802,25879463
2019-10-21,128.669998,129.669998,127.059998,128.020004,120.731583,14107414
2019-10-22,128.759995,130.539993,128.089996,129.199997,121.844398,7625647
2019-10-23,129.660004,130.479996,129.070007,129.899994,122.504539,6722254
2019-10-24,130.419998,130.580002,126.099998,127.500000,120.241196,12146358
2019-10-25,127.830002,129.100006,127.309998,128.350006,121.042793,6947250
2019-10-28,128.619995,130.000000,128.509995,129.179993,121.825546,7876303
2019-10-29,129.699997,129.970001,128.559998,129.124405,121.773117,4506298
2019-10-30,133.300003,133.529999,131.729996,132.839996,125.277176,9627603
2019-10-31,132.380005,132.839996,130.889999,132.039993,124.522713,7686682
2019-11-01,132.050003,133.000000,131.139999,131.199997,123.730553,5541792
2019-11-04,131.800003,131.949997,130.089996,130.229996,122.815758,6140323
2019-11-05,130.529999,131.470001,129.679993,130.419998,122.994957,6257266
2019-11-06,130.419998,131.479996,129.699997,130.960007,123.504211,5450031
2019-11-07,131.729996,132.380005,131.009995,131.429993,123.947441,5874081
2019-11-08,131.300003,133.039993,130.970001,133.000000,125.428070,5003528
2019-11-11,132.270004,132.524704,131.330002,131.979996,124.466133,4371362
2019-11-12,132.000000,132.089996,131.020004,131.350006,123.872009,5229157
2019-11-13,131.039993,131.487000,130.720001,131.270004,123.796562,5921414
2019-11-14,131.029999,131.360001,130.139999,130.960007,123.504211,4217472
