Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,37.680000,38.049999,37.369999,37.990002,35.586372,2858845
2019-09-04,38.400002,38.419998,38.093498,38.240002,35.820557,1575334
2019-09-05,38.500000,39.029999,38.439999,38.630001,36.185875,2430452
2019-09-06,38.630001,38.849998,38.450001,38.709999,36.260811,1892996
2019-09-09,38.900002,39.730000,38.770000,39.669998,37.160076,2607717
2019-09-10,39.689999,40.349701,39.689999,40.290001,37.740852,3008674
2019-09-11,40.400002,41.049999,39.779999,41.049999,38.452763,2482896
2019-09-12,41.060001,41.490002,40.680000,41.450001,38.827457,3475510
2019-09-13,41.470001,42.189999,41.389999,41.630001,38.996071,3676322
2019-09-16,41.430000,42.000000,41.150002,41.959999,39.305187,2652870
2019-09-17,42.939999,43.000000,41.650002,41.790001,39.145939,4272582
2019-09-18,41.599998,41.740002,41.110001,41.669998,39.033539,2689265
2019-09-19,41.750000,41.790001,40.775002,40.900002,38.312256,2476119
2019-09-20,40.930000,41.250000,40.790001,40.900002,38.312256,4567527
2019-09-23,40.730000,40.919998,40.349998,40.400002,37.843887,2910934
2019-09-24,40.450001,40.535000,39.750000,39.930000,37.403625,4062304
2019-09-25,39.939999,40.639999,39.939999,40.480000,37.918835,2574162
2019-09-26,40.599998,40.950001,40.285000,40.860001,38.274788,1829682
2019-09-27,40.970001,41.180000,40.610001,40.939999,38.349728,1843586
2019-09-30,41.029999,41.270000,40.959999,41.070000,38.471497,2263356
2019-10-01,41.209999,41.450001,40.220001,40.330002,37.778320,3041515
2019-10-02,40.160000,40.200001,39.380001,39.720001,37.206913,2738433
2019-10-03,39.720001,39.799999,39.040001,39.529999,37.028934,2664220
2019-10-04,39.570000,40.380001,39.529999,40.349998,37.797050,1981906
2019-10-07,40.169998,40.189999,39.770000,39.779999,37.263123,3067124
2019-10-08,39.759998,39.759998,38.389999,38.400002,35.970428,4143163
2019-10-09,38.680000,39.130001,38.619999,38.930000,36.466896,2879549
2019-10-10,38.930000,40.090000,38.930000,39.770000,37.253750,3004667
2019-10-11,40.130001,40.685001,40.009998,40.459999,37.900097,2718112
2019-10-14,40.259998,40.470001,39.930000,40.200001,37.656544,1745888
