Date,Open,High,Low,Close,Adj Close,Volume
2019-09-02,648.000000,661.799988,645.799988,653.400024,636.328064,241578
2019-09-03,649.400024,660.000000,646.400024,660.000000,642.755554,281554
2019-09-04,662.000000,676.400024,658.400024,668.799988,651.325623,426223
2019-09-05,680.000000,688.200012,664.799988,670.200012,652.689026,586606
2019-09-06,674.799988,681.799988,670.799988,680.599976,662.817322,442974
2019-09-09,680.599976,681.000000,648.400024,651.000000,633.990723,563191
2019-09-10,649.400024,649.400024,631.000000,645.599976,628.731750,607896
2019-09-11,645.599976,655.400024,639.000000,650.000000,633.016846,558671
2019-09-12,653.799988,661.599976,650.799988,656.200012,639.054810,455738
2019-09-13,657.599976,657.599976,644.799988,646.599976,629.705688,426140
2019-09-16,640.200012,646.400024,631.599976,643.400024,626.589294,435690
2019-09-17,642.400024,653.000000,639.000000,650.000000,633.016846,280996
2019-09-18,648.599976,658.799988,627.599976,627.599976,611.202087,1043495
2019-09-19,630.000000,640.400024,624.200012,631.000000,614.513245,580679
2019-09-20,633.799988,637.799988,622.200012,622.200012,605.943176,1017555
2019-09-23,622.400024,634.599976,621.200012,630.000000,613.539368,413676
2019-09-24,630.000000,639.799988,625.200012,637.799988,621.135559,341087
2019-09-25,637.799988,639.200012,624.799988,627.599976,611.202087,346923
2019-09-26,628.200012,638.400024,626.400024,635.000000,618.408752,330486
2019-09-27,638.599976,641.599976,630.400024,636.799988,620.161682,235315
2019-09-30,636.799988,639.400024,631.799988,636.599976,619.966919,367497
2019-10-01,640.000000,642.000000,620.799988,627.400024,611.007324,329050
2019-10-02,627.599976,627.599976,617.200012,617.200012,601.073792,380048
2019-10-03,613.000000,622.799988,611.000000,617.599976,601.463318,238510
2019-10-04,615.000000,632.799988,615.000000,628.599976,612.175903,305181
2019-10-07,631.000000,638.599976,625.799988,626.400024,610.033447,208946
2019-10-08,629.400024,635.200012,622.200012,622.200012,605.943176,212397
2019-10-09,623.000000,631.000000,620.599976,627.000000,610.617737,283008
2019-10-10,628.799988,631.200012,619.000000,620.000000,603.800659,379700
2019-10-11,621.000000,626.799988,618.400024,623.599976,607.306580,313848
2019-10-14,627.599976,632.200012,623.799988,628.400024,611.981262,287964
2019-10-15,629.799988,634.599976,627.599976,630.599976,614.123718,202595
2019-10-16,630.599976,637.400024,626.400024,629.599976,613.149780,289092
2019-10-17,628.400024,631.599976,624.599976,624.599976,608.280457,242870
2019-10-18,624.599976,627.400024,619.200012,622.799988,606.527466,229744
2019-10-21,627.400024,629.000000,620.200012,622.799988,606.527466,312340
2019-10-22,618.000000,633.200012,618.000000,628.200012,611.786438,209330
2019-10-23,629.200012,632.599976,625.000000,629.400024,612.955078,171798
2019-10-24,629.400024,632.799988,623.200012,624.200012,607.890930,299633
2019-10-25,624.599976,634.000000,623.200012,630.000000,613.539368,211900
2019-10-28,630.000000,631.799988,620.400024,623.400024,607.111877,280966
2019-10-29,622.000000,625.400024,560.599976,577.000000,561.924133,1753199
2019-10-30,576.000000,607.599976,574.599976,593.000000,577.506104,1073701
2019-10-31,593.000000,594.599976,581.000000,587.599976,572.247131,697881
2019-11-01,588.599976,596.000000,586.799988,587.200012,571.857666,328141
2019-11-04,591.200012,592.400024,583.000000,584.200012,568.936035,377545
2019-11-05,584.000000,584.000000,564.599976,568.400024,553.548889,658914
2019-11-06,568.400024,581.000000,566.200012,577.200012,562.118958,467376
2019-11-07,583.400024,585.000000,572.000000,576.799988,561.729370,465653
2019-11-08,580.000000,602.599976,580.000000,595.000000,579.453857,1738164
2019-11-11,601.000000,608.200012,590.400024,605.200012,589.387390,802458
2019-11-12,607.400024,609.400024,600.200012,608.200012,592.308960,675018
2019-11-13,610.000000,615.599976,606.000000,612.200012,596.204468,555313
2019-11-14,609.599976,616.799988,603.000000,605.000000,589.192566,711289
2019-11-15,609.400024,611.400024,601.000000,605.599976,589.776917,441467
2019-11-18,607.200012,615.200012,607.200012,612.000000,596.009705,546665
2019-11-19,611.799988,618.400024,609.799988,610.599976,594.646240,382059
2019-11-20,610.599976,616.000000,610.000000,615.000000,598.931274,313676
2019-11-21,615.000000,618.400024,608.599976,610.000000,594.061951,357533
2019-11-22,610.000000,612.799988,599.400024,608.200012,592.308960,387055
2019-11-25,610.000000,616.400024,604.599976,616.400024,600.294739,314287
2019-11-26,617.400024,623.599976,608.799988,620.400024,604.190247,1269820
2019-11-27,623.000000,623.400024,616.599976,621.799988,605.553589,368344
2019-11-28,620.400024,626.799988,616.799988,623.599976,607.306580,296583
2019-11-29,621.599976,629.200012,621.200012,625.000000,608.670044,392088
2019-12-02,626.400024,627.799988,612.400024,612.400024,596.399292,477556
2019-12-03,615.799988,623.000000,610.599976,613.799988,597.762634,291425
2019-12-04,614.599976,623.000000,614.599976,621.400024,605.164124,379127
2019-12-05,622.000000,626.799988,622.000000,625.000000,608.670044,357340
2019-12-06,626.200012,629.200012,622.400024,625.200012,608.864807,250515
2019-12-09,629.599976,631.200012,625.000000,630.200012,613.734192,295858
2019-12-10,631.400024,643.599976,629.799988,643.599976,626.783997,388617
2019-12-11,644.799988,655.000000,641.599976,654.400024,637.301880,431680
2019-12-12,654.799988,657.000000,643.799988,648.799988,631.848206,396753
2019-12-13,659.400024,666.400024,650.000000,653.799988,636.717529,472964
2019-12-16,657.400024,671.000000,657.400024,664.000000,646.651062,513294
2019-12-17,665.000000,675.200012,663.000000,666.000000,648.598755,624447
2019-12-18,666.799988,676.000000,664.000000,669.400024,651.909912,436300
2019-12-19,675.000000,675.000000,659.400024,665.799988,648.403992,543302
2019-12-20,666.200012,678.400024,663.799988,674.799988,657.168823,1266685
2019-12-23,675.000000,681.799988,670.599976,679.200012,661.453857,252082
2019-12-27,680.000000,693.599976,677.599976,691.000000,672.945557,255588
2019-12-30,692.200012,696.200012,689.000000,689.000000,670.997864,267567
2020-01-02,685.799988,688.400024,677.200012,681.000000,663.206848,340491
2020-01-03,679.400024,680.799988,673.599976,677.400024,659.700928,294193
2020-01-06,677.000000,679.000000,670.200012,670.200012,652.689026,385408
2020-01-07,670.000000,672.599976,654.799988,662.000000,644.703308,429359
2020-01-08,651.000000,667.200012,643.400024,645.000000,628.147461,1422811
2020-01-09,649.400024,650.599976,644.400024,645.799988,628.926575,654730
2020-01-10,649.000000,654.000000,646.599976,652.799988,635.743652,610071
2020-01-13,650.599976,666.200012,648.200012,659.599976,642.365967,862530
2020-01-14,660.400024,665.000000,656.000000,664.599976,647.235352,420130
2020-01-15,665.000000,685.000000,663.799988,684.599976,666.712769,654745
2020-01-16,685.599976,690.000000,680.400024,686.000000,668.076233,541265
2020-01-17,687.799988,695.400024,686.799988,695.400024,677.230652,558112
2020-01-20,697.599976,708.799988,693.200012,706.400024,687.943237,335759
2020-01-21,706.200012,706.799988,694.400024,700.400024,682.100037,556967
2020-01-22,700.200012,717.799988,700.200012,716.400024,697.681946,535721
2020-01-23,716.400024,730.799988,714.200012,729.400024,710.342285,640212
2020-01-24,734.000000,749.599976,733.799988,749.599976,730.014465,605287
2020-01-27,749.400024,754.000000,734.400024,737.000000,717.743713,555366
2020-01-28,741.000000,748.599976,740.599976,743.000000,723.586914,479021
2020-01-29,747.599976,752.000000,740.200012,748.000000,728.456299,866015
2020-01-30,736.000000,751.000000,724.200012,727.400024,708.394531,1288457
2020-01-31,731.799988,742.000000,716.200012,736.000000,716.769775,944719
2020-02-03,738.400024,740.799988,730.400024,736.200012,716.964600,601126
2020-02-04,740.000000,740.000000,714.599976,719.000000,700.213989,1429444
2020-02-05,719.599976,726.799988,712.400024,715.000000,696.318481,1007419
2020-02-06,715.799988,719.000000,709.200012,716.599976,697.876709,628907
2020-02-07,711.799988,732.200012,710.000000,726.000000,707.031128,817588
2020-02-10,728.799988,732.400024,715.599976,729.200012,710.147461,376760
2020-02-11,737.000000,741.799988,729.000000,735.000000,715.795959,537249
2020-02-12,739.000000,747.200012,725.200012,725.200012,706.252014,480379
2020-02-13,725.200012,736.599976,722.599976,727.599976,708.589294,437588
2020-02-14,735.000000,745.599976,731.000000,743.000000,723.586914,519297
2020-02-17,746.000000,747.200012,735.599976,743.400024,723.976501,338221
2020-02-18,743.200012,767.400024,739.599976,764.200012,744.233032,664311
2020-02-19,766.000000,774.799988,762.400024,771.200012,751.050171,598774
2020-02-20,771.400024,772.599976,757.400024,761.000000,741.116577,523313
2020-02-21,761.000000,771.599976,758.000000,769.799988,749.686646,495288
2020-02-24,757.000000,759.400024,735.599976,735.599976,716.380249,500726
2020-02-25,733.599976,740.799988,715.599976,719.599976,700.798279,544306
2020-02-26,712.200012,738.000000,701.799988,732.000000,712.874329,734791
2020-02-27,727.799988,734.000000,707.400024,709.799988,691.254395,615966
2020-02-28,700.000000,703.799988,675.000000,695.400024,677.230652,1221654
2020-03-02,704.799988,721.400024,695.599976,709.000000,690.475281,932000
2020-03-03,717.599976,721.799988,705.400024,718.000000,709.751282,715405
2020-03-04,716.000000,769.799988,711.400024,757.400024,748.698608,1330928
2020-03-05,763.400024,770.200012,752.200012,755.200012,746.523926,613376
2020-03-06,745.799988,752.799988,707.000000,715.200012,706.983459,693855
2020-03-09,640.000000,694.400024,640.000000,682.000000,674.164856,1512878
2020-03-10,682.000000,709.400024,652.599976,652.599976,645.102600,975156
2020-03-11,652.599976,667.400024,628.200012,632.599976,625.332336,1434740
2020-03-12,582.400024,610.599976,567.400024,575.799988,569.184937,1700010
2020-03-13,593.599976,657.400024,577.799988,592.000000,585.198792,1421961
2020-03-16,566.799988,586.599976,546.000000,579.599976,572.941223,1425143
2020-03-17,605.599976,619.200012,585.599976,619.200012,612.086365,1430998
2020-03-18,618.000000,629.400024,562.799988,591.000000,584.210327,1073849
2020-03-19,595.000000,602.000000,567.000000,574.400024,567.801025,1076186
2020-03-20,598.000000,614.000000,592.000000,606.400024,599.433411,1084451
2020-03-23,580.000000,616.000000,560.000000,601.799988,594.886230,1005385
2020-03-24,619.200012,643.799988,610.000000,627.000000,619.796692,782677
2020-03-25,662.599976,683.000000,643.799988,670.799988,663.093506,912235
2020-03-26,670.599976,685.400024,654.000000,685.400024,677.525818,817053
2020-03-27,672.400024,679.200012,651.400024,659.599976,652.022156,828632
2020-03-30,660.200012,679.200012,648.799988,675.000000,667.245239,593452
2020-03-31,694.000000,702.000000,658.200012,666.400024,658.744080,957293
2020-04-01,662.000000,665.200012,636.799988,648.799988,641.346252,580878
2020-04-02,652.400024,653.799988,629.400024,644.799988,637.392212,585154
2020-04-03,644.799988,646.599976,631.400024,645.000000,637.589905,442456
2020-04-06,657.799988,663.599976,635.200012,641.200012,633.833557,462108
2020-04-07,656.000000,656.599976,643.200012,648.599976,641.148560,525743
2020-04-08,660.000000,663.000000,645.799988,654.599976,647.079590,442573
2020-04-14,708.000000,709.000000,670.799988,689.000000,681.084412,909007
2020-04-15,689.000000,691.799988,677.799988,680.000000,672.187805,430151
2020-04-16,678.599976,686.000000,673.400024,681.599976,673.769409,446324
2020-04-17,695.599976,697.000000,681.799988,687.799988,679.898193,431230
2020-04-20,690.000000,694.000000,684.599976,687.599976,679.700500,289034
2020-04-21,692.400024,693.400024,683.599976,690.400024,682.468384,488292
2020-04-22,693.000000,702.400024,689.799988,700.000000,691.958069,374239
2020-04-23,700.799988,720.799988,700.799988,716.000000,707.774231,423147
2020-04-24,709.000000,720.599976,708.000000,713.400024,705.204102,355595
2020-04-27,717.000000,717.000000,708.000000,708.200012,700.063843,318073
2020-04-28,708.599976,721.000000,704.000000,710.000000,701.843140,452397
2020-04-29,730.000000,736.000000,705.200012,705.200012,697.098328,488210
2020-04-30,700.000000,705.200012,683.200012,688.400024,680.491333,952394
2020-05-01,679.400024,689.400024,675.599976,685.000000,677.130371,195808
2020-05-04,675.000000,682.400024,665.599976,675.000000,667.245239,457082
2020-05-05,681.400024,687.000000,676.000000,683.799988,675.944153,385245
2020-05-06,684.000000,691.599976,679.400024,690.200012,682.270630,394484
2020-05-07,692.200012,700.200012,688.000000,696.000000,688.004028,411894
2020-05-11,703.000000,705.799988,689.599976,698.400024,690.376465,290956
2020-05-12,699.599976,714.200012,694.200012,705.200012,697.098328,555231
2020-05-13,712.000000,724.799988,696.000000,724.799988,716.473145,463280
2020-05-14,726.200012,728.400024,714.599976,716.000000,707.774231,529989
2020-05-15,717.200012,720.000000,705.200012,705.200012,697.098328,459881
2020-05-18,714.599976,738.400024,709.599976,731.599976,723.195007,365437
2020-05-19,737.599976,740.400024,724.200012,726.400024,718.054810,370907
2020-05-20,723.000000,742.400024,718.599976,741.599976,733.080078,495333
2020-05-25,744.400024,765.000000,741.000000,764.400024,755.618225,309726
2020-05-26,772.000000,777.799988,757.000000,766.000000,757.199829,525975
2020-05-27,772.400024,774.599976,738.200012,751.200012,742.569824,487212
2020-05-28,759.599976,764.799988,750.799988,761.200012,752.454956,459004
2020-05-29,762.400024,787.599976,761.799988,786.799988,777.760864,1051384
2020-06-02,793.200012,793.200012,766.400024,779.599976,770.643555,563767
2020-06-03,782.000000,790.799988,771.200012,787.000000,777.958557,483265
2020-06-04,786.799988,790.599976,776.799988,777.599976,768.666504,432187
2020-06-08,775.000000,776.000000,753.000000,757.400024,748.698608,821793
2020-06-09,759.400024,762.599976,740.200012,748.799988,740.197388,725325
2020-06-10,757.000000,765.799988,746.799988,765.000000,756.211304,442436
2020-06-11,760.799988,768.000000,743.799988,746.000000,737.429565,324888
2020-06-12,735.200012,757.400024,731.200012,749.200012,740.592834,438179
2020-06-15,747.799988,755.400024,727.200012,752.200012,743.558350,469928
2020-06-16,732.400024,748.000000,729.000000,741.799988,733.277832,1065953
2020-06-17,741.799988,755.599976,741.599976,745.200012,736.638794,621336
2020-06-18,744.599976,762.799988,742.200012,753.200012,744.546875,423898
2020-06-19,757.400024,777.000000,753.799988,753.799988,745.139954,871951
2020-06-22,753.799988,777.400024,753.200012,777.400024,768.468872,470029
2020-06-23,782.400024,783.000000,771.200012,776.200012,767.282654,414748
2020-06-24,774.000000,782.799988,759.000000,761.799988,753.048035,451047
2020-06-25,758.400024,772.000000,752.400024,761.599976,752.850342,372720
2020-06-26,761.599976,770.200012,755.599976,756.200012,747.512390,326360
2020-06-29,754.200012,770.400024,752.799988,770.400024,761.549255,265521
2020-06-30,771.799988,772.000000,761.799988,765.400024,756.606750,358156
2020-07-01,763.000000,768.599976,757.799988,766.000000,757.199829,313153
