date,status,value
2021-04-11T05:45Z,404,613
2021-04-11T06:00Z,200,6526
2021-04-11T06:00Z,304,2347
2021-04-11T06:00Z,404,1237
2021-04-11T06:15Z,200,5401
2021-04-11T06:15Z,304,2753
2021-04-11T06:15Z,404,625
2021-04-11T06:30Z,200,5778
2021-04-11T06:30Z,304,2949
2021-04-11T06:30Z,404,293
2021-04-11T06:30Z,302,171
2021-04-11T06:45Z,200,5724
2021-04-11T06:45Z,304,3107
2021-04-11T06:45Z,404,522
2021-04-11T07:00Z,200,5407
2021-04-11T07:00Z,304,2885
2021-04-11T07:00Z,404,554
2021-04-11T07:00Z,302,611
2021-04-11T07:15Z,200,5047
2021-04-11T07:15Z,304,3311
2021-04-11T07:15Z,404,156
2021-04-11T07:30Z,200,4759
2021-04-11T07:30Z,304,3096
2021-04-11T07:30Z,404,952
2021-04-11T07:45Z,200,6035
2021-04-11T07:45Z,304,3275
2021-04-11T07:45Z,404,643
2021-04-11T08:00Z,200,4998
2021-04-11T08:00Z,304,3183
2021-04-11T08:00Z,404,190
2021-04-11T08:15Z,200,5261
2021-04-11T08:15Z,304,2870
2021-04-11T08:15Z,404,1023
2021-04-11T08:30Z,200,5675
2021-04-11T08:30Z,304,2665
2021-04-11T08:30Z,404,437
2021-04-11T08:45Z,200,6257
2021-04-11T08:45Z,304,3095
2021-04-11T08:45Z,404,1045
2021-04-11T08:45Z,302,899
2021-04-11T09:00Z,200,5163
2021-04-11T09:00Z,304,2609
2021-04-11T09:00Z,404,690
2021-04-11T09:15Z,200,5653
2021-04-11T09:15Z,304,2861
2021-04-11T09:15Z,404,1018
2021-04-11T09:30Z,200,5029
2021-04-11T09:30Z,304,3559
2021-04-11T09:30Z,404,526
2021-04-11T09:45Z,200,6433
2021-04-11T09:45Z,304,2760
2021-04-11T09:45Z,404,475
2021-04-11T10:00Z,200,7347
2021-04-11T10:00Z,304,3722
2021-04-11T10:00Z,404,1132
2021-04-11T10:15Z,200,6678
2021-04-11T10:15Z,304,3187
2021-04-11T10:15Z,404,965
2021-04-11T10:15Z,500,146
2021-04-11T10:30Z,200,10746
2021-04-11T10:30Z,304,3547
2021-04-11T10:30Z,404,1513
2021-04-11T10:45Z,200,8291
2021-04-11T10:45Z,304,3623
2021-04-11T10:45Z,404,718
2021-04-11T11:00Z,200,8972
2021-04-11T11:00Z,304,4180
2021-04-11T11:00Z,404,1008
2021-04-11T11:15Z,200,8310
2021-04-11T11:15Z,304,3456
2021-04-11T11:15Z,404,1068
2021-04-11T11:30Z,200,8737
2021-04-11T11:30Z,304,3456
2021-04-11T11:30Z,404,1337
2021-04-11T11:45Z,200,8240
2021-04-11T11:45Z,304,2944
2021-04-11T11:45Z,404,1766
2021-04-11T12:00Z,200,7600
2021-04-11T12:00Z,304,3317
2021-04-11T12:00Z,404,776
2021-04-11T12:00Z,302,748
2021-04-11T12:15Z,200,8163
2021-04-11T12:15Z,304,3350
2021-04-11T12:15Z,404,331
2021-04-11T12:30Z,200,7679
2021-04-11T12:30Z,304,3061
2021-04-11T12:30Z,404,774
2021-04-11T12:30Z,499,468
2021-04-11T12:45Z,200,7926
2021-04-11T12:45Z,304,2767
2021-04-11T12:45Z,404,966
2021-04-11T13:00Z,200,8989
2021-04-11T13:00Z,304,2730
2021-04-11T13:00Z,404,2234
2021-04-11T13:00Z,401,26
2021-04-11T13:00Z,500,844
2021-04-11T13:15Z,200,8853
2021-04-11T13:15Z,304,3710
2021-04-11T13:15Z,404,792
2021-04-11T13:30Z,200,9402
2021-04-11T13:30Z,304,4569
2021-04-11T13:30Z,404,1472
2021-04-11T13:30Z,302,539
2021-04-11T13:45Z,200,10639
2021-04-11T13:45Z,304,3922
2021-04-11T13:45Z,404,1913
2021-04-11T13:45Z,499,386
2021-04-11T14:00Z,200,8558
2021-04-11T14:00Z,304,3490
2021-04-11T14:00Z,404,945
2021-04-11T14:15Z,200,8836
2021-04-11T14:15Z,304,4528
2021-04-11T14:15Z,404,893
2021-04-11T14:30Z,200,9674
2021-04-11T14:30Z,304,3775
2021-04-11T14:30Z,404,1773
2021-04-11T14:45Z,200,9134
2021-04-11T14:45Z,304,3407
2021-04-11T14:45Z,404,1229
2021-04-11T14:45Z,500,384
2021-04-11T15:00Z,200,9902
2021-04-11T15:00Z,304,3573
2021-04-11T15:00Z,404,1254
2021-04-11T15:00Z,499,507
2021-04-11T15:15Z,200,10985
2021-04-11T15:15Z,304,3621
2021-04-11T15:15Z,404,1394
2021-04-11T15:15Z,302,900
2021-04-11T15:30Z,200,9687
2021-04-11T15:30Z,304,3920
2021-04-11T15:30Z,404,1204
2021-04-11T15:30Z,302,908
2021-04-11T15:45Z,200,8025
2021-04-11T15:45Z,304,2984
2021-04-11T15:45Z,404,1462
2021-04-11T15:45Z,302,397
2021-04-11T16:00Z,200,8855
2021-04-11T16:00Z,304,3667
2021-04-11T16:00Z,404,1488
2021-04-11T16:15Z,200,10062
2021-04-11T16:15Z,304,3478
2021-04-11T16:15Z,404,2225
2021-04-11T16:30Z,200,11865
2021-04-11T16:30Z,304,4076
2021-04-11T16:30Z,404,3470
2021-04-11T16:30Z,499,868
2021-04-11T16:45Z,200,9285
2021-04-11T16:45Z,304,3215
2021-04-11T16:45Z,404,2226
2021-04-11T17:00Z,200,9812
2021-04-11T17:00Z,304,3989
2021-04-11T17:00Z,404,2086
2021-04-11T17:15Z,200,10051
2021-04-11T17:15Z,304,4703
2021-04-11T17:15Z,404,1598
2021-04-11T17:30Z,200,9822
2021-04-11T17:30Z,304,4485
2021-04-11T17:30Z,404,1606
2021-04-11T17:45Z,200,10727
2021-04-11T17:45Z,304,3413
2021-04-11T17:45Z,404,2303
2021-04-11T18:00Z,200,10148
2021-04-11T18:00Z,304,3085
2021-04-11T18:00Z,404,2283
2021-04-11T18:00Z,499,835
2021-04-11T18:15Z,200,10510
2021-04-11T18:15Z,304,4460
2021-04-11T18:15Z,404,1884
2021-04-11T18:30Z,200,10113
2021-04-11T18:30Z,304,3974
2021-04-11T18:30Z,404,1730
2021-04-11T18:30Z,302,330
2021-04-11T18:45Z,200,12610
2021-04-11T18:45Z,304,3928
2021-04-11T18:45Z,404,865
2021-04-11T19:00Z,200,10726
2021-04-11T19:00Z,304,4941
2021-04-11T19:00Z,404,691
2021-04-11T19:00Z,403,34
2021-04-11T19:00Z,499,96
2021-04-11T19:15Z,200,9720
2021-04-11T19:15Z,304,4236
2021-04-11T19:15Z,404,1799
2021-04-11T19:15Z,302,16
2021-04-11T19:15Z,403,187
2021-04-11T19:30Z,200,8292
2021-04-11T19:30Z,304,3384
2021-04-11T19:30Z,404,328
2021-04-11T19:30Z,302,686
2021-04-11T19:30Z,499,280
2021-04-11T19:45Z,200,7795
2021-04-11T19:45Z,304,3713
2021-04-11T19:45Z,404,974
2021-04-11T20:00Z,200,9169
2021-04-11T20:00Z,304,4172
2021-04-11T20:00Z,404,1383
2021-04-11T20:00Z,302,818
2021-04-11T20:15Z,200,8301
2021-04-11T20:15Z,304,3693
2021-04-11T20:15Z,404,2117
2021-04-11T20:15Z,302,417
2021-04-11T20:30Z,200,10035
2021-04-11T20:30Z,304,3822
2021-04-11T20:30Z,404,1979
2021-04-11T20:30Z,302,967
2021-04-11T20:45Z,200,12612
2021-04-11T20:45Z,304,4121
2021-04-11T20:45Z,404,1779
2021-04-11T20:45Z,302,982
2021-04-11T21:00Z,200,9347
2021-04-11T21:00Z,304,3537
2021-04-11T21:00Z,404,1382
2021-04-11T21:00Z,500,879
2021-04-11T21:00Z,302,968
